class	candidate	physical_shape	q_read	q_write	q_safe	status
SEMANTIC	EventSignedEffects	Movement/Event	yes	yes	publication	KEEP_INFORMATION
SEMANTIC	ActualValidity	Movement/ActualValidity	yes	yes	publication	KEEP_INFORMATION
SEMANTIC	EventDescription	Movement/EventDescription	yes	limited	publication	KEEP_INFORMATION
SEMANTIC	LocusAdmission	Movement/LocusAdmission	yes	yes	publication	KEEP_INFORMATION_REPRESENTATION_OPEN
SEMANTIC	RelationUnit	Movement/RelationUnit	no	yes	publication	MUTATION_ONLY_REPRESENTATION_OPEN
SEMANTIC	RelationDischarge	Movement/RelationDischarge	no	yes	publication	MUTATION_ONLY_REPRESENTATION_OPEN
SEMANTIC	ActualReversal	actual-reversals.loam	no	yes	publication_retry	MUTATION_ONLY_REPRESENTATION_OPEN
SEMANTIC	AccountingRole	accounting-role.loam	yes	administration	direct_file_integrity	KEEP_INFORMATION
SEMANTIC	ZeroOriginCoverage	zero-origin-coverage.loam	yes	limited	decode_fail_closed	KEEP_INFORMATION_MINIMALITY_OPEN
SEMANTIC	ScheduledOccurrence	scheduled.loam	yes	yes	atomic_image	KEEP_INFORMATION
SEMANTIC	ScheduledTerminal	scheduled.loam_sections	yes	yes	atomic_image	KEEP_MEANING_ONE_RELATION_CANDIDATE
SEMANTIC	ScheduledRouting	scheduled-routing.loam	yes	yes	publication	KEEP_INFORMATION
SEMANTIC	ActualRouting	actual-routing.loam	yes	yes	publication	KEEP_INFORMATION
SEMANTIC	CapacityMovement	capacity.loam	yes	yes	publication	KEEP_INFORMATION
SEMANTIC	CapacityEffective	capacity.loam.effective	yes	yes	publication	KEEP_INFORMATION_TOPOLOGY_OPEN
CONFIG	BalanceView	config/balance-view.tsv	query	no	decode	REPLACEABLE_CONFIG
CONFIG	CycleFunding	config/cycle-funding.tsv	query	no	decode	REPLACEABLE_CONFIG
CONFIG	BoundaryPresets	config/boundary-presets.tsv	query	no	decode	REPLACEABLE_CONFIG
CONFIG	LocusCatalog	config/locus-catalog.tsv	presentation	no	decode	REPLACEABLE_CONFIG
CONFIG	PurposeCatalog	config/purpose-catalog.tsv	presentation	no	decode	REPLACEABLE_CONFIG
MECHANIC	MovementCurrent	movement-authority/CURRENT	indirect	publish	crash_atomicity	KEEP_MECHANIC_REPRESENTATION_OPEN
MECHANIC	ObjectStore	movement-authority/objects/*	no	publish	crash_atomicity	KEEP_MECHANIC_REPRESENTATION_OPEN
MECHANIC	RecoveryManifest	movement-authority/recovery/*	no	recovery	recovery	KEEP_MECHANIC_REPRESENTATION_OPEN
MECHANIC	RequestTransport	requests/*	no	ingress	replay_transport	KEEP_ONLY_EARNED_SAFETY_STATE
